Código	Semestre	id	Nome	CH	Pre-requisito	Natureza	Categoria	Departamento	OBS	Nova ementa?	Ementa proposta
	5	APA	Análise e Projeto de Algoritmos	60	ED1, GRAFOS	OB	Básica	DCC	=MATA52?	✔	Análise de complexidade de algoritmos. Técnicas de projeto eficiente de algoritmos: recursão, dividir para conquistar, programação dinâmica, programação gulosa, backtracking. Algoritmos envolvendo sequências e conjuntos. Noções de NP-completude. Noções de algoritmos aproximativos.
MATA07	5	ALGLIN	Álgebra Linear A	60	GA	OB	Básica	DMAT			Matrizes e sistemas lineares. Espaços vetoriais. Produto interno. Transformações lineares. Diagonalização de operadores.
MATA51	5	TEOCOMP	Teoria da Computação	60	LOGICA	OB	Básica	DCC	=MATA51?, correção de typo		Modelos e Computação: máquinas de Turing, funções recursivas, λ-Cálculus, Tese de Church, Linguagens inumeráveis, recursivamente enumeráveis e recursivas. Decibilidade. Redução. Problemas indecidíveis. Incompletude da aritmética.
	5	OPT-5-24	OPTATIVA de Empreendedorismo e Inovação	60		OP					
	6	BD	Banco de Dados	60	ED1	OB	Profissional	DCC	=MATA60?	✔	Arquitetura geral de um SGBD. Modelos de Entidades e Relacionamentos (ER) e suas extensões. O modelo relacional. Mapeamento de um projeto ER em um projeto relacional. Linguagem de definição e manipulação de dados. Álgebra e cálculo relacional. Mapeamento de consultas em álgebra e cálculo relacional em SQL. Aspectos éticos relacionados ao uso de banco de dados.
	6	REDES	Redes de Computadores	60	SO	OB	Profissional	DCC	=MATA59?	✔	Introdução a redes de computadores: terminologia, topologias, tipos de redes, software e hardware de rede, arquiteturas e modelos de referência. Detalhamento de cada uma das camadas: física, enlace, subcamada de acesso ao meio, rede, transporte e aplicação, considerando-se diferentes tipos de rede. Introdução a serviços de redes. Segurança em redes de computadores. Redes sem fio e mobilidade. Aplicações avançadas e tendências emergentes. Aspectos éticos relacionados à gerência e uso de redes.
	6	IA	Inteligência Artificial	60	ALGLIN, ED1	OB	Profissional	DCC	=MATA64?	✔	Fundamentos. Agentes e multi-agentes. Resolução de Problemas por busca. Representação de conhecimento. Tratamento de incerteza. Aprendizagem de máquina. Aspectos Éticos em IA.
	6	CV	Computação Visual	60	GA, ALGLIN, ILP	OB	Profissional	DCC	=MATA65, CG?	✔	Introdução ao processamento de imagens. Primitivas Gráficas. Transformações 2D. Cor. Transformações 3D. Modelos de iluminação.
	6	ESCR	Escrita Científica	60		OB	Complementar	DCC		✔	Revisão de gramática em língua Portuguesa. Citação. Elementos de estilo de escrita científica. Trabalhos práticos de escrita científica. Preparação para o trabalho de conclusão de curso.
	7	METOD	Metodologia de Pesquisa e Projeto Final	60	ESCR	OB	Complementar	DCC	Baseada em FCHC45?	✔	Base de dados para pesquisa científica. Método científico. Avaliação quantitativa. Avaliação qualitativa. Plagiarismo. Projeto de final de curso.
	7	OPT-7-40	OPTATIVA Livre	60		OP					
	7	OPT-7-31	OPTATIVA Livre	60		OP					
	7	OPT-7-32	OPTATIVA de Ênfase	60		OP					
	7	OPT-7-33	OPTATIVA de Ênfase	60		OP					
	8	TCC	TCC	220	METOD	OB	Complementar	DCC		✔	Desenvolvimento, escrita e apresentação de um projeto de final de curso.
	8	OPT-8-35	OPTATIVA de Humanidades	60		OP					
	8	OPT-8-36	OPTATIVA de Matemática	60		OP					
	8	OPT-8-37	OPTATIVA de Ênfase	60		OP					
	8	OPT-8-38	OPTATIVA de Ênfase	60		OP					
